Geographic code,Geographic name,No certificate,Secondary school,Apprenticeship certificate,College,University bachelor ,bachelor or above,female,male
18,Newfoundland and Labrador,15.7,22.7,12.5,28.5,2.3,18.3,265790,253925
23,Prince Edward Island,12,25.1,8.4,28.2,2.5,23.7,73605,69305
20,Nova Scotia,12.2,23.5,10.6,25.9,2.3,25.5,476715,446885
18,New Brunswick,13.9,28.5,9.4,26.1,1.9,20.2,381745,365355
24,Quebec,13.3,18.5,19.8,19,3.8,25.5,4147600,4016755
22,Ontario,10.4,24.5,6.2,24.7,2.4,31.9,6889105,6559390
16,Manitoba,14.4,27.9,8.2,21.1,3.2,25.2,646970,631395
25,Saskatchewan,12.2,29.7,11.8,20.3,3.4,22.5,552570,545785
14,Alberta,10.8,25.2,10.6,22,3.2,28.2,2027765,2039410
15,British Columbia,9.6,26.5,9.1,20.9,3.9,29.9,2369815,2278245
26,Yukon,10.7,20.9,11.4,23.7,3.2,30.1,17795,18080
19,Northwest Territories,20.5,19.4,11.1,21.7,2.8,24.5,20510,21275
21,Nunavut,41,14.6,9.6,19.3,1.2,14.3,17550,18395
